species,y_lo,y_hi,y_center,counts,value,error
Kplus,-2.0000,-1.9000,-1.9500,1.664000e+03,3.697778e-02,9.064924e-04
Kplus,-1.9000,-1.8000,-1.8500,2.271000e+03,5.046667e-02,1.059000e-03
Kplus,-1.8000,-1.7000,-1.7500,3.065000e+03,6.811111e-02,1.230276e-03
Kplus,-1.7000,-1.6000,-1.6500,3.613000e+03,8.028889e-02,1.335739e-03
Kplus,-1.6000,-1.5000,-1.5500,4.433000e+03,9.851111e-02,1.479573e-03
Kplus,-1.5000,-1.4000,-1.4500,5.168000e+03,1.148444e-01,1.597529e-03
Kplus,-1.4000,-1.3000,-1.3500,6.178000e+03,1.372889e-01,1.746672e-03
Kplus,-1.3000,-1.2000,-1.2500,6.967000e+03,1.548222e-01,1.854857e-03
Kplus,-1.2000,-1.1000,-1.1500,8.000000e+03,1.777778e-01,1.987616e-03
Kplus,-1.1000,-1.0000,-1.0500,8.350000e+03,1.855556e-01,2.030630e-03
Kplus,-1.0000,-0.9000,-0.9500,9.174000e+03,2.038667e-01,2.128467e-03
Kplus,-0.9000,-0.8000,-0.8500,9.810000e+03,2.180000e-01,2.201010e-03
Kplus,-0.8000,-0.7000,-0.7500,1.018500e+04,2.263333e-01,2.242684e-03
Kplus,-0.7000,-0.6000,-0.6500,1.061200e+04,2.358222e-01,2.289212e-03
Kplus,-0.6000,-0.5000,-0.5500,1.101400e+04,2.447556e-01,2.332169e-03
Kplus,-0.5000,-0.4000,-0.4500,1.163500e+04,2.585556e-01,2.397015e-03
Kplus,-0.4000,-0.3000,-0.3500,1.188400e+04,2.640889e-01,2.422528e-03
Kplus,-0.3000,-0.2000,-0.2500,1.184600e+04,2.632444e-01,2.418652e-03
Kplus,-0.2000,-0.1000,-0.1500,1.214300e+04,2.698444e-01,2.448784e-03
Kplus,-0.1000,0.0000,-0.0500,1.254100e+04,2.786889e-01,2.488591e-03
Kplus,0.0000,0.1000,0.0500,1.209500e+04,2.687778e-01,2.443939e-03
Kplus,0.1000,0.2000,0.1500,1.222600e+04,2.716889e-01,2.457139e-03
Kplus,0.2000,0.3000,0.2500,1.234900e+04,2.744222e-01,2.469468e-03
Kplus,0.3000,0.4000,0.3500,1.220200e+04,2.711556e-01,2.454726e-03
Kplus,0.4000,0.5000,0.4500,1.195300e+04,2.656222e-01,2.429551e-03
Kplus,0.5000,0.6000,0.5500,1.193900e+04,2.653111e-01,2.428127e-03
Kplus,0.6000,0.7000,0.6500,1.100500e+04,2.445556e-01,2.331216e-03
Kplus,0.7000,0.8000,0.7500,1.079300e+04,2.398444e-01,2.308653e-03
Kplus,0.8000,0.9000,0.8500,1.002200e+04,2.227111e-01,2.224665e-03
Kplus,0.9000,1.0000,0.9500,9.566000e+03,2.125778e-01,2.173465e-03
Kplus,1.0000,1.1000,1.0500,8.921000e+03,1.982444e-01,2.098912e-03
Kplus,1.1000,1.2000,1.1500,8.230000e+03,1.828889e-01,2.015985e-03
Kplus,1.2000,1.3000,1.2500,7.663000e+03,1.702889e-01,1.945301e-03
Kplus,1.3000,1.4000,1.3500,6.775000e+03,1.505556e-01,1.829120e-03
Kplus,1.4000,1.5000,1.4500,5.968000e+03,1.326222e-01,1.716730e-03
Kplus,1.5000,1.6000,1.5500,4.679000e+03,1.039778e-01,1.520071e-03
Kplus,1.6000,1.7000,1.6500,3.828000e+03,8.506667e-02,1.374907e-03
Kplus,1.7000,1.8000,1.7500,3.104000e+03,6.897778e-02,1.238079e-03
Kplus,1.8000,1.9000,1.8500,2.402000e+03,5.337778e-02,1.089116e-03
Kplus,1.9000,2.0000,1.9500,1.916000e+03,4.257778e-02,9.727142e-04
Kminus,-2.0000,-1.9000,-1.9500,2.710000e+02,6.022222e-03,3.658239e-04
Kminus,-1.9000,-1.8000,-1.8500,3.460000e+02,7.688889e-03,4.133572e-04
Kminus,-1.8000,-1.7000,-1.7500,4.880000e+02,1.084444e-02,4.909049e-04
Kminus,-1.7000,-1.6000,-1.6500,7.470000e+02,1.660000e-02,6.073622e-04
Kminus,-1.6000,-1.5000,-1.5500,9.550000e+02,2.122222e-02,6.867350e-04
Kminus,-1.5000,-1.4000,-1.4500,1.393000e+03,3.095556e-02,8.293981e-04
Kminus,-1.4000,-1.3000,-1.3500,1.794000e+03,3.986667e-02,9.412364e-04
Kminus,-1.3000,-1.2000,-1.2500,2.231000e+03,4.957778e-02,1.049633e-03
Kminus,-1.2000,-1.1000,-1.1500,2.795000e+03,6.211111e-02,1.174839e-03
Kminus,-1.1000,-1.0000,-1.0500,3.452000e+03,7.671111e-02,1.305638e-03
Kminus,-1.0000,-0.9000,-0.9500,4.106000e+03,9.124444e-02,1.423957e-03
Kminus,-0.9000,-0.8000,-0.8500,4.767000e+03,1.059333e-01,1.534299e-03
Kminus,-0.8000,-0.7000,-0.7500,5.477000e+03,1.217111e-01,1.644595e-03
Kminus,-0.7000,-0.6000,-0.6500,6.106000e+03,1.356889e-01,1.736464e-03
Kminus,-0.6000,-0.5000,-0.5500,6.498000e+03,1.444000e-01,1.791337e-03
Kminus,-0.5000,-0.4000,-0.4500,7.139000e+03,1.586444e-01,1.877613e-03
Kminus,-0.4000,-0.3000,-0.3500,7.146000e+03,1.588000e-01,1.878534e-03
Kminus,-0.3000,-0.2000,-0.2500,7.796000e+03,1.732444e-01,1.962110e-03
Kminus,-0.2000,-0.1000,-0.1500,7.993000e+03,1.776222e-01,1.986746e-03
Kminus,-0.1000,0.0000,-0.0500,7.891000e+03,1.753556e-01,1.974029e-03
Kminus,0.0000,0.1000,0.0500,7.864000e+03,1.747556e-01,1.970649e-03
Kminus,0.1000,0.2000,0.1500,8.030000e+03,1.784444e-01,1.991339e-03
Kminus,0.2000,0.3000,0.2500,7.896000e+03,1.754667e-01,1.974654e-03
Kminus,0.3000,0.4000,0.3500,7.535000e+03,1.674444e-01,1.928986e-03
Kminus,0.4000,0.5000,0.4500,7.181000e+03,1.595778e-01,1.883128e-03
Kminus,0.5000,0.6000,0.5500,6.509000e+03,1.446444e-01,1.792853e-03
Kminus,0.6000,0.7000,0.6500,6.005000e+03,1.334444e-01,1.722043e-03
Kminus,0.7000,0.8000,0.7500,5.518000e+03,1.226222e-01,1.650739e-03
Kminus,0.8000,0.9000,0.8500,5.019000e+03,1.115333e-01,1.574331e-03
Kminus,0.9000,1.0000,0.9500,4.276000e+03,9.502222e-02,1.453136e-03
Kminus,1.0000,1.1000,1.0500,3.620000e+03,8.044444e-02,1.337032e-03
Kminus,1.1000,1.2000,1.1500,3.049000e+03,6.775556e-02,1.227061e-03
Kminus,1.2000,1.3000,1.2500,2.482000e+03,5.515556e-02,1.107104e-03
Kminus,1.3000,1.4000,1.3500,1.992000e+03,4.426667e-02,9.918184e-04
Kminus,1.4000,1.5000,1.4500,1.429000e+03,3.175556e-02,8.400470e-04
Kminus,1.5000,1.6000,1.5500,1.139000e+03,2.531111e-02,7.499794e-04
Kminus,1.6000,1.7000,1.6500,7.520000e+02,1.671111e-02,6.093915e-04
Kminus,1.7000,1.8000,1.7500,5.710000e+02,1.268889e-02,5.310135e-04
Kminus,1.8000,1.9000,1.8500,4.390000e+02,9.755556e-03,4.656073e-04
Kminus,1.9000,2.0000,1.9500,2.580000e+02,5.733333e-03,3.569417e-04
K0S,-2.0000,-1.9000,-1.9500,9.650000e+02,2.144444e-02,4.881307e-04
K0S,-1.9000,-1.8000,-1.8500,1.259000e+03,2.797778e-02,5.575520e-04
K0S,-1.8000,-1.7000,-1.7500,1.668500e+03,3.707778e-02,6.418530e-04
K0S,-1.7000,-1.6000,-1.6500,2.114000e+03,4.697778e-02,7.224786e-04
K0S,-1.6000,-1.5000,-1.5500,2.604500e+03,5.787778e-02,8.019267e-04
K0S,-1.5000,-1.4000,-1.4500,3.277000e+03,7.282222e-02,8.995198e-04
K0S,-1.4000,-1.3000,-1.3500,3.809000e+03,8.464444e-02,9.697906e-04
K0S,-1.3000,-1.2000,-1.2500,4.575500e+03,1.016778e-01,1.062898e-03
K0S,-1.2000,-1.1000,-1.1500,5.412500e+03,1.202778e-01,1.156036e-03
K0S,-1.1000,-1.0000,-1.0500,6.182500e+03,1.373889e-01,1.235534e-03
K0S,-1.0000,-0.9000,-0.9500,6.744000e+03,1.498667e-01,1.290421e-03
K0S,-0.9000,-0.8000,-0.8500,7.223500e+03,1.605222e-01,1.335507e-03
K0S,-0.8000,-0.7000,-0.7500,7.933000e+03,1.762889e-01,1.399559e-03
K0S,-0.7000,-0.6000,-0.6500,8.491000e+03,1.886889e-01,1.447944e-03
K0S,-0.6000,-0.5000,-0.5500,8.878500e+03,1.973000e-01,1.480615e-03
K0S,-0.5000,-0.4000,-0.4500,9.361000e+03,2.080222e-01,1.520315e-03
K0S,-0.4000,-0.3000,-0.3500,9.723000e+03,2.160667e-01,1.549432e-03
K0S,-0.3000,-0.2000,-0.2500,9.975500e+03,2.216778e-01,1.569422e-03
K0S,-0.2000,-0.1000,-0.1500,1.004600e+04,2.232444e-01,1.574958e-03
K0S,-0.1000,0.0000,-0.0500,1.026700e+04,2.281556e-01,1.592188e-03
K0S,0.0000,0.1000,0.0500,1.011300e+04,2.247333e-01,1.580202e-03
K0S,0.1000,0.2000,0.1500,1.021600e+04,2.270222e-01,1.588228e-03
K0S,0.2000,0.3000,0.2500,1.005850e+04,2.235222e-01,1.575938e-03
K0S,0.3000,0.4000,0.3500,1.001500e+04,2.225556e-01,1.572526e-03
K0S,0.4000,0.5000,0.4500,9.793500e+03,2.176333e-01,1.555040e-03
K0S,0.5000,0.6000,0.5500,9.446000e+03,2.099111e-01,1.527202e-03
K0S,0.6000,0.7000,0.6500,8.865500e+03,1.970111e-01,1.479531e-03
K0S,0.7000,0.8000,0.7500,8.460500e+03,1.880111e-01,1.445342e-03
K0S,0.8000,0.9000,0.8500,7.725500e+03,1.716778e-01,1.381134e-03
K0S,0.9000,1.0000,0.9500,7.210000e+03,1.602222e-01,1.334259e-03
K0S,1.0000,1.1000,1.0500,6.277000e+03,1.394889e-01,1.244940e-03
K0S,1.1000,1.2000,1.1500,5.722000e+03,1.271556e-01,1.188629e-03
